0: 9311, 7001, 803, 5361, 6764
1: 6764, 1642, 9311, 7001, 4888
2: 9311, 7001, 803, 5361, 6764
3: 6764, 1642, 9311, 7001, 4888
4: 803, 9311, 5361, 7001, 6764
5: 9311, 6764, 7001, 1642, 803
6: 6764, 1642, 9311, 7001, 4669
7: 6764, 4669, 1642, 9311, 7001
8: 9311, 803, 7001, 5361, 6764
9: 6764, 1642, 9311, 7001, 4669
10: 9311, 803, 6764, 7001, 5361
11: 803, 6764, 4669, 9311, 5361
12: 9311, 803, 6764, 5361, 7001
13: 6764, 9311, 7001, 1642, 4669
14: 6764, 9311, 1642, 7001, 4669
15: 9311, 803, 6764, 7001, 5361
16: 803, 5361, 9311, 7001, 6764
17: 9311, 7001, 6764, 1642, 803
18: 9311, 803, 7001, 6764, 5361
19: 5361, 803, 9311, 6595, 4669
20: 803, 5361, 9311, 6595, 4669
21: 803, 5361, 9311, 6595, 4669
22: 6764, 9311, 4669, 7001, 803
23: 5361, 803, 6595, 9874, 4669
24: 5361, 803, 6595, 9311, 4669
25: 5361, 803, 6595, 4669, 9874
26: 4669, 6595, 9874, 7588, 6764
27: 4669, 6595, 9874, 7588, 8398
28: 4669, 6764, 6595, 9874, 1642
29: 4669, 6595, 9874, 6764, 7588
30: 4669, 6595, 9874, 6764, 7588
31: 5361, 803, 6595, 9874, 2433
32: 5361, 803, 6595, 9874, 2433
33: 5361, 803, 6595, 9874, 2433
34: 5361, 803, 6595, 9874, 2433
35: 5361, 803, 6595, 9874, 2433
36: 5361, 803, 6595, 9874, 2433
37: 5361, 803, 6595, 9874, 4669
38: 5361, 803, 6595, 9874, 4669
39: 5361, 803, 6595, 4669, 9874
40: 5361, 803, 6595, 4669, 9874
41: 5361, 803, 6595, 4669, 9311
42: 5361, 803, 6595, 9311, 4669
43: 4669, 6764, 9874, 6595, 1642
44: 4669, 6764, 9874, 6595, 4888
45: 4669, 6764, 9874, 6595, 1642
46: 4669, 6764, 9874, 6595, 7588
47: 4669, 6764, 9874, 6595, 7588
48: 4669, 6764, 9874, 6595, 7588
49: 4669, 6764, 4888, 1642, 9874
50: 4669, 6764, 9874, 6595, 1642
51: 6764, 4669, 4888, 1642, 4319
52: 4669, 6764, 6595, 9874, 7588
53: 4669, 6764, 9874, 6595, 4888
54: 4669, 6764, 9874, 6595, 7588
55: 6764, 4669, 1642, 4888, 6595
56: 6764, 4669, 1642, 4888, 6595
57: 6764, 4669, 1642, 4888, 9874
58: 4669, 6764, 9874, 6595, 7588
59: 6764, 4669, 1642, 4888, 9874
60: 6764, 4669, 1642, 4888, 9874
61: 6764, 1642, 4669, 4888, 9311
62: 6764, 1642, 4888, 9311, 7001
63: 6764, 1642, 9311, 4888, 7001
64: 6764, 1642, 9311, 4888, 7001
65: 6764, 1642, 4669, 4888, 9311
66: 6764, 4669, 1642, 4888, 4319
67: 6764, 1642, 9311, 7001, 4888
68: 6764, 4669, 1642, 4888, 9311
69: 6764, 1642, 9311, 7001, 4888
70: 6764, 4669, 1642, 4888, 9311
71: 6764, 1642, 4888, 9311, 7001
72: 6764, 1642, 4888, 9311, 7001
73: 6764, 1642, 4669, 4888, 9311
74: 6764, 1642, 4888, 9311, 7001
75: 6764, 1642, 4888, 9788, 4319
76: 6764, 1642, 4888, 4319, 9788
77: 6764, 4669, 1642, 4888, 9311
78: 6764, 1642, 4888, 4669, 9311
79: 6764, 1642, 4888, 4669, 9311
80: 6764, 1642, 4888, 9788, 4319
81: 6764, 1642, 4669, 4888, 9311
82: 6764, 1642, 4888, 4669, 9311
83: 6764, 1642, 4888, 4669, 9311
84: 6764, 1642, 4888, 9788, 4319
85: 9311, 7001, 6764, 1642, 3905
86: 9311, 803, 7001, 5361, 3905
87: 6764, 1642, 9311, 7001, 4888
88: 803, 5361, 9311, 7001, 6764
89: 803, 5361, 9311, 7001, 5762
90: 9311, 7001, 6764, 1642, 803
91: 6764, 4669, 1642, 9311, 7001
92: 9311, 803, 7001, 5361, 6764
93: 9311, 803, 7001, 5361, 6764
94: 9311, 7001, 803, 5361, 6764
95: 9311, 803, 7001, 5361, 6764
96: 6764, 9311, 7001, 1642, 803
97: 9311, 7001, 803, 5361, 3905
98: 803, 5361, 9311, 4669, 7001
99: 9311, 7001, 6764, 1642, 803
