0,0,11
1,12,16
2,17,41
3,42,286
4,287,292
5,293,300
6,301,800
7,801,955
8,956,974
9,975,981
10,982,1012
11,1013,1022
12,1023,1039
13,1040,1048
14,1049,1057
15,1058,1064
16,1065,1069
17,1070,1190
18,1191,1221
19,1222,1234
20,1235,1247
21,1248,1256
22,1257,1271
23,1272,1286
24,1287,1305
25,1306,1316
26,1317,1322
27,1323,1328
28,1329,1340
29,1341,1457
30,1458,1462
31,1463,1467
32,1468,1484
33,1485,1494
34,1495,1507
35,1508,1539
36,1540,1616
37,1617,1702
38,1703,1713
39,1714,1759
40,1760,1776
41,1777,1798
42,1799,1804
43,1805,1815
44,1816,1820
45,1821,1827
46,1828,1834
47,1835,1847
48,1848,1852
49,1853,1866
50,1867,1880
51,1881,1888
52,1889,1930
53,1931,2114
54,2115,2141
55,2142,2153
56,2154,2177
57,2178,2187
58,2188,2205
59,2206,2216
60,2217,2245
61,2246,2332
62,2333,2337
63,2338,2344
64,2345,2363
65,2364,2368
66,2369,2375
67,2376,2381
68,2382,2402
69,2403,2441
70,2442,2446
71,2447,2471
72,2472,2484
73,2485,2506
74,2507,2513
75,2514,2518
76,2519,2530
77,2531,2537
78,2538,2546
79,2547,2552
80,2553,2556
81,2557,2565
82,2566,2570
83,2571,2594
84,2595,2754
85,2755,2763
86,2764,2772
87,2773,2776
88,2777,2781
89,2782,2788
90,2789,2795
91,2796,2809
92,2810,2827
2901,129479,129486
2902,129487,129498
2903,129499,129503
2904,129504,129513
2905,129514,129546
2906,129547,129563
2907,129564,129576
2908,129577,129599
2909,129600,129639
2910,129640,129663
2911,129664,129673
2912,129674,129797
7345,358624,358638
7346,358639,358721
7347,358722,358727
7348,358728,358734
7349,358735,358743
7350,358744,359600
7351,359601,359606
7352,359607,359612
7353,359613,359706
7354,359707,359712
7355,359713,359721
7356,359722,359757
7357,359758,359762
7358,359763,359775
7359,359776,359782
7360,359783,359800
7361,359801,359806
7362,359807,359863
7363,359864,359868
7364,359869,359880
7365,359881,359885
7366,359886,359896
7367,359897,359903
7368,359904,359916
7369,359917,359922
7370,359923,359958
7371,359959,359969
7372,359970,359980
7373,359981,359986
7374,359987,359997
7375,359998,360007
7376,360008,360024
7377,360025,360160
7378,360161,360309
7379,360310,360334
7380,360335,360348
7381,360349,360359
7382,360360,360372
7383,360373,360529
7384,360530,360534
7385,360535,360545
7386,360546,363202
7387,363203,363257
7388,363258,363278
7389,363279,363291
7390,363292,363297
7391,363298,363305
7392,363306,363314
7393,363315,363319
7394,363320,363346
7395,363347,363351
7396,363352,363356
7397,363357,363363
7398,363364,363372
7399,363373,363392
7400,363393,363397
7401,363398,363405
7402,363406,363507
7403,363508,363570
7404,363571,363581
7405,363582,363591
7406,363592,363598
7407,363599,363626
7408,363627,363641
7409,363642,363648
7410,363649,363656
7411,363657,363661
7412,363662,363672
7413,363673,363680
